Date,thuc_test_goodwin_nhdplus_Total Streamflow [Mg],thuc_test_goodwin_nhdplus__Sediment: All: Total [Mg],thuc_test_goodwin_topagnps_Direct Runoff [Mg],thuc_test_goodwin_topagnps_Sediment: All: Total [Mg],Observed Total sediment load_Mg
1/31/1990,9052.72371,7.918225806,10986.95555,14.03177419,82.483
2/28/1990,63588.54304,106.5901786,67643.81336,143.2321786,562.074
3/31/1990,29593.71574,36.22219365,32671.71126,50.61877419,137.339
4/30/1990,16056.26193,21.0799,20403.92077,36.10716667,69.85
5/31/1990,27546.34429,33.83142516,31382.73226,49.82193548,48.462
6/30/1990,3618.947467,2.9225875,1115.280867,1.391533333,21.704
7/31/1990,1103.825161,0.529237387,1600.013871,1.083258065,6.647
8/31/1990,694.4375484,0.315290323,564.2228065,0.414967742,0
9/30/1990,1077.904133,0.401566667,1328.893267,0.783233333,0
10/31/1990,8368.61902,2.580667097,9564.166161,5.613354839,1.817
11/30/1990,13169.93423,11.57416667,16261.9721,21.9206,6.461
12/31/1990,67734.04726,70.28241935,73784.03523,108.8472258,200.64
1/31/1991,4456.698032,3.182011642,3019.667226,4.304612903,15.672
2/28/1991,123523.4848,292.1414306,130529.5858,422.2688214,1100.236
3/31/1991,22763.378,27.59222581,28907.44652,49.48651613,287.025
4/30/1991,111426.6384,219.1874667,146282.0273,394.7100667,1962
5/31/1991,52869.938,87.4896129,27885.29929,47.05316129,397.5
6/30/1991,14553.90297,8.467000667,16857.88773,15.88306667,40.4
7/31/1991,2129.207774,0.576404194,2617.07171,1.403774194,1
8/31/1991,1465.013161,0.416356613,3860.187419,1.956419355,0
9/30/1991,4650.7948,1.1205,3155.204233,0.892666667,15.163
10/31/1991,3329.813065,1.129967742,5449.833,2.126096774,0
11/30/1991,17932.0176,15.60983333,56703.0165,91.3433,673.398
12/31/1991,88240.43797,129.6150645,56845.58142,95.20396774,29.316
